code,locale,name,descr,
DIRECTOR,en,Director,"Oversees creative aspects of the film",
DIRECTOR,ru,Режиссер,"Отвечает за творческие аспекты фильма",
DIRECTOR,es,Director,"Supervisa los aspectos creativos de la película",
ACTOR,en,Actor,"Performs in front of the camera",
ACTOR,ru,Актер,"Играет роль перед камерой",
ACTOR,es,Actor,"Actúa frente a la cámara",
PRODUCER,en,Producer,"Manages logistics and financing",
PRODUCER,ru,Продюсер,"Управляет логистикой и финансированием",
PRODUCER,es,Productor,"Gestiona logística y financiación",
WRITER,en,Writer,"Creates the screenplay",
WRITER,ru,Сценарист,"Пишет сценарий",
WRITER,es,Guionista,"Escribe el guión",
CINEMATOGRAPHER,en,Cinematographer,"Heads camera and lighting",
CINEMATOGRAPHER,ru,Кинооператор,"Руководит съемкой и освещением",
CINEMATOGRAPHER,es,Director de Fotografía,"Dirige cámara e iluminación",
EDITOR,en,Editor,"Assembles footage into final cut",
EDITOR,ru,Монтажер,"Собирает материал в финальный монтаж",
EDITOR,es,Editor,"Ensambla el metraje en la versión final",
COMPOSER,en,Composer,"Creates original music",
COMPOSER,ru,Композитор,"Пишет оригинальную музыку",
COMPOSER,es,Compositor,"Crea la banda sonora",
COSTUME_DESIGNER,en,Costume Designer,"Designs character outfits",
COSTUME_DESIGNER,ru,Костюмер,"Создает костюмы персонажей",
COSTUME_DESIGNER,es,Diseñador de Vestuario,"Diseña la ropa de los personajes",
MAKEUP_ARTIST,en,Makeup Artist,"Applies makeup/FX",
MAKEUP_ARTIST,ru,Гример,"Наносит грим/спецэффекты",
MAKEUP_ARTIST,es,Maquillador,"Aplica maquillaje/efectos",
STUNT_COORDINATOR,en,Stunt Coordinator,"Choreographs stunts",
STUNT_COORDINATOR,ru,Координатор трюков,"Ставит трюки",
STUNT_COORDINATOR,es,Coordinador de Acrobacias,"Coreografía acrobacias",
SOUND_ENGINEER,en,Sound Engineer,"Records and mixes audio",
SOUND_ENGINEER,ru,Звукорежиссер,"Записывает и микширует звук",
SOUND_ENGINEER,es,Ingeniero de Sonido,"Graba y mezcla audio",
PRODUCTION_ASSISTANT,en,Production Assistant,"Supports on-set operations",
PRODUCTION_ASSISTANT,ru,Ассистент,"Помощник на площадке",
PRODUCTION_ASSISTANT,es,Asistente de Producción,"Apoya operaciones en el set",
GAFFER,en,Gaffer,"Chief lighting technician",
GAFFER,ru,Гаффер,"Главный по освещению",
GAFFER,es,Jefe de Eléctricos,"Técnico principal de iluminación",
BEST_BOY,en,Best Boy,"Assists gaffer/electric crew",
BEST_BOY,ru,Бест-бой,"Помощник гаффера",
BEST_BOY,es,Best Boy,"Asistente del jefe de eléctricos",
SCRIPT_SUPERVISOR,en,Script Supervisor,"Ensures continuity",
SCRIPT_SUPERVISOR,ru,Скрипт-супервайзер,"Следит за непрерывностью",
SCRIPT_SUPERVISOR,es,Supervisor de Guión,"Garantiza continuidad",
CASTING_DIRECTOR,en,Casting Director,"Selects actors",
CASTING_DIRECTOR,ru,Кастинг-директор,"Подбирает актеров",
CASTING_DIRECTOR,es,Director de Casting,"Selecciona actores",
LOCATION_MANAGER,en,Location Manager,"Secures filming sites",
LOCATION_MANAGER,ru,Локационный менеджер,"Организует места съемок",
LOCATION_MANAGER,es,Gerente de Locaciones,"Consigue lugares para filmar",
WAREHOUSE_MANAGER,en,Warehouse Manager,"Manages equipment storage",
WAREHOUSE_MANAGER,ru,Складской менеджер,"Управляет хранением оборудования",
WAREHOUSE_MANAGER,es,Gerente de Almacén,"Gestiona almacenamiento de equipo",
GARAGE_MANAGER,en,Garage Manager,"Oversees vehicle logistics",
GARAGE_MANAGER,ru,Менеджер гаража,"Отвечает за транспорт",
GARAGE_MANAGER,es,Gerente de Garaje,"Supervisa logística de vehículos",
